	control1	control2	control3	dmd1	dmd2	dmd3
ENSG00000283940	0	0	0	0	0	0
ENSG00000284171	0	0	0	0	0	0
ENSG00000230548	0	0	0	0	0	0
ENSG00000234934	0	0	0	0	0	0
ENSG00000248136	0	0	0	0	0	0
ENSG00000233550	0	0	0	0	0	0
ENSG00000226915	0	0	0	0	1	0
ENSG00000271435	0	0	0	0	0	0
ENSG00000224352	0	0	0	0	0	0
ENSG00000136710	812	821	688	370	569	479
ENSG00000136718	528	419	413	206	344	252
ENSG00000072135	341	322	254	241	362	241
ENSG00000178162	67	29	62	6	44	9
ENSG00000230646	0	0	0	0	0	0
ENSG00000239402	0	0	0	0	0	0
ENSG00000196834	0	1	0	0	3	0
ENSG00000251973	0	0	0	0	0	0
ENSG00000225819	0	0	0	0	0	0
ENSG00000274711	0	0	0	0	0	0
ENSG00000152093	0	0	0	0	0	0
ENSG00000225341	0	0	0	0	0	0
ENSG00000184761	0	0	0	0	0	0
ENSG00000183292	0	0	0	0	0	0
ENSG00000232408	0	0	0	0	0	0
ENSG00000136698	22	26	4	9	116	47
ENSG00000277668	0	0	0	0	0	0
ENSG00000222038	1	2	3	0	0	0
ENSG00000251757	0	0	0	0	0	0
ENSG00000214081	0	0	0	0	0	0
ENSG00000282944	0	0	0	0	0	0
ENSG00000240253	8	6	7	10	2	0
ENSG00000223349	0	0	0	0	0	0
ENSG00000173302	0	0	0	0	0	0
ENSG00000229797	0	0	0	0	0	0
ENSG00000178171	223	227	117	51	142	116
ENSG00000232503	0	0	0	0	0	0
ENSG00000233221	17	13	13	9	42	20
ENSG00000136002	439	374	386	225	344	285
ENSG00000281159	0	0	0	0	0	0
ENSG00000281516	0	0	0	0	0	0
ENSG00000284479	0	0	0	0	0	0
ENSG00000152102	2717	1904	2062	1080	2096	1586
ENSG00000115762	1053	970	867	490	843	668
ENSG00000230450	0	4	0	0	0	0
ENSG00000225448	0	0	0	0	0	0
ENSG00000236956	0	0	0	0	0	0
ENSG00000285819	0	0	0	0	0	0
ENSG00000248796	0	0	0	0	0	0
ENSG00000188219	1	11	0	0	0	0
ENSG00000212199	0	0	0	0	0	0
ENSG00000231431	16	0	0	0	0	0
ENSG00000236516	0	0	1	0	0	0
ENSG00000284604	0	0	0	0	0	0
ENSG00000227817	0	0	0	0	0	0
ENSG00000284706	0	0	0	0	0	0
ENSG00000224425	0	0	0	0	0	0
ENSG00000233087	18	4	0	19	5	9
ENSG00000283303	0	0	0	0	0	0
ENSG00000233285	0	0	0	0	0	0
ENSG00000227275	0	0	0	0	0	0
ENSG00000235080	0	0	0	0	0	0
ENSG00000231777	0	0	0	0	0	0
ENSG00000284003	0	0	0	0	0	0
ENSG00000283865	0	0	0	0	0	0
ENSG00000227661	0	0	0	0	0	0
ENSG00000236590	0	0	0	0	0	0
ENSG00000234480	0	0	0	0	0	0
ENSG00000237910	0	0	0	0	0	0
ENSG00000234939	0	0	0	0	0	0
ENSG00000234576	0	3	0	3	2	3
ENSG00000226831	0	0	0	0	0	0
ENSG00000276460	0	0	0	0	0	0
ENSG00000223631	0	0	0	0	0	0
ENSG00000284659	4	0	0	0	0	0
ENSG00000214077	0	0	0	1	0	0
ENSG00000217950	0	0	0	0	0	0
ENSG00000232742	2	0	0	0	16	0
ENSG00000273073	12	5	4	0	3	1
ENSG00000173272	743	704	760	605	998	691
ENSG00000075886	0	1	7	7	8	0
ENSG00000284149	0	0	0	0	0	0
ENSG00000152117	558	353	349	230	331	197
ENSG00000163040	166	169	131	56	218	138
ENSG00000224679	0	0	0	0	0	0
ENSG00000286208	0	0	0	0	0	0
ENSG00000204434	0	8	3	0	0	0
ENSG00000251956	0	0	0	0	0	0
ENSG00000224559	1	0	0	0	0	0
ENSG00000270930	0	0	0	0	0	0
ENSG00000287151	0	0	5	4	0	0
ENSG00000288031	0	0	0	0	0	8
ENSG00000197927	0	0	0	0	0	0
ENSG00000213222	0	0	0	0	0	0
ENSG00000287071	0	0	0	0	0	0
ENSG00000186825	0	0	0	0	0	0
ENSG00000274353	0	0	0	0	0	0
ENSG00000229203	0	0	0	0	0	0
ENSG00000232760	0	0	2	0	0	0
ENSG00000244337	0	0	0	0	0	0
ENSG00000235615	2	0	0	0	0	0
ENSG00000236485	0	0	0	0	3	0
ENSG00000287414	0	0	0	0	0	0
ENSG00000226886	0	0	8	0	0	0
ENSG00000271179	0	0	0	0	0	0
ENSG00000225594	0	0	0	0	0	0
ENSG00000227745	0	0	0	4	1	0
ENSG00000163046	1	1	10	0	0	0
ENSG00000239108	0	0	0	0	0	0
ENSG00000202174	0	0	0	0	0	0
ENSG00000221288	0	0	0	0	0	1
ENSG00000233786	0	0	0	0	0	0
ENSG00000230803	0	0	0	0	0	0
ENSG00000018607	2	0	4	0	0	1
ENSG00000272769	10	0	7	0	1	5
ENSG00000286833	30	0	3	21	9	24
ENSG00000230992	0	0	0	0	0	0
ENSG00000252705	0	0	0	0	0	0
ENSG00000183840	78	17	16	17	47	31
ENSG00000232349	0	0	0	0	0	0
ENSG00000200718	0	0	0	0	0	0
ENSG00000150551	636	685	364	1385	1306	1524
ENSG00000230065	0	0	0	0	0	0
ENSG00000176771	2137	1352	1636	1338	1697	1540
ENSG00000286068	0	0	0	0	0	0
ENSG00000228721	0	0	0	0	0	0
ENSG00000233729	0	0	0	0	0	0
ENSG00000279512	0	0	0	0	0	0
ENSG00000226953	1	5	4	0	7	2
ENSG00000252688	0	0	0	0	0	0
ENSG00000222068	0	0	0	0	0	0
ENSG00000232474	0	0	0	0	0	0
ENSG00000223430	0	0	0	0	0	0
ENSG00000200708	0	0	0	0	0	0
ENSG00000286697	0	0	0	0	0	0
ENSG00000152127	1428	1200	798	1044	1869	1186
ENSG00000263813	0	0	0	0	0	0
ENSG00000222921	0	0	0	0	0	0
ENSG00000234060	0	0	0	0	0	0
ENSG00000152128	371	408	225	179	127	241
ENSG00000287463	28	20	24	19	7	35
ENSG00000224043	86	36	72	28	82	27
ENSG00000234682	0	0	0	0	0	0
ENSG00000228098	0	0	0	0	0	0
ENSG00000153086	7	0	0	0	0	0
ENSG00000263783	0	0	0	0	0	0
ENSG00000082258	1400	1007	1078	735	1073	780
ENSG00000176601	326	111	267	538	1449	555
ENSG00000115839	1675	1093	1178	776	1710	924
ENSG00000208308	0	0	0	0	7	0
ENSG00000121988	434	248	341	198	346	211
ENSG00000235651	0	1	2	0	0	0
ENSG00000048991	1625	907	1114	558	903	734
ENSG00000201308	0	0	0	0	0	0
ENSG00000207654	0	7	0	0	0	0
ENSG00000144224	6103	3102	4492	2990	6250	3829
ENSG00000115850	0	0	0	0	0	0
ENSG00000200664	0	0	0	0	0	0
ENSG00000226806	0	0	0	0	0	0
ENSG00000076003	1339	1109	1255	621	933	673
ENSG00000214070	0	0	0	0	0	3
ENSG00000115866	4796	4378	4485	3108	4268	3203
ENSG00000231890	7	22	14	2	2	4
ENSG00000237262	4	0	0	0	0	0
ENSG00000121966	1382	1042	1089	894	1349	1275
ENSG00000227347	14	1	3	4	3	2
ENSG00000279024	0	0	0	0	2	0
ENSG00000230037	0	0	0	0	7	0
ENSG00000251976	0	0	0	0	0	0
ENSG00000229568	0	0	0	0	0	0
ENSG00000144229	77	42	51	123	63	118
ENSG00000212425	0	0	0	0	0	0
ENSG00000222394	0	0	0	0	0	0
ENSG00000150540	93	56	107	342	769	470
ENSG00000224231	0	0	0	0	0	0
ENSG00000233045	2	1	1	0	1	1
ENSG00000234645	26	25	40	24	24	18
ENSG00000237939	0	0	0	0	0	0
ENSG00000232915	0	0	0	0	0	0
ENSG00000228043	4	4	2	0	9	7
ENSG00000230569	0	0	0	0	0	0
ENSG00000144228	589	312	547	427	604	338
ENSG00000241772	10	0	7	0	0	1
ENSG00000260059	0	0	0	0	0	0
ENSG00000237772	0	0	0	0	0	0
ENSG00000144227	58	26	53	43	60	33
ENSG00000222826	0	0	0	0	0	0
ENSG00000229104	0	0	0	0	0	0
ENSG00000232992	0	0	0	0	0	0
ENSG00000287147	0	0	0	0	0	0
ENSG00000286778	0	3	1	0	2	0
ENSG00000226939	0	0	0	0	0	0
ENSG00000229131	0	0	0	0	0	0
ENSG00000206901	0	0	0	0	0	0
ENSG00000235232	0	0	0	0	0	0
ENSG00000228374	0	0	0	0	0	0
ENSG00000223554	0	0	0	0	0	0
ENSG00000240977	0	0	0	0	0	0
ENSG00000224028	3	0	0	0	0	0
ENSG00000227149	0	0	0	0	0	0
ENSG00000231567	0	0	0	0	0	0
ENSG00000223921	0	0	0	0	0	0
ENSG00000168702	224	132	172	75	253	148
ENSG00000277306	0	0	2	0	0	0
ENSG00000283506	0	0	0	0	0	0
ENSG00000236440	2	0	0	0	0	0
ENSG00000238065	0	0	0	0	0	0
ENSG00000201892	0	0	0	0	0	0
ENSG00000252015	2	0	0	0	0	0
ENSG00000233329	0	0	0	0	0	0
ENSG00000244125	0	0	0	0	0	0
ENSG00000228134	0	0	0	0	0	0
ENSG00000229781	0	0	0	0	0	0
ENSG00000115919	0	14	13	11	32	20
ENSG00000270390	0	0	0	0	0	0
ENSG00000075884	14	8	22	41	30	21
ENSG00000224288	0	0	0	0	0	0
ENSG00000226839	0	0	0	0	0	0
ENSG00000224852	0	1	0	0	0	0
ENSG00000232772	0	0	0	0	0	0
ENSG00000236300	0	0	0	0	0	0
ENSG00000227557	0	0	0	0	0	0
ENSG00000225476	0	0	0	0	0	0
ENSG00000284167	0	2	4	1	1	2
ENSG00000231766	2	1	1	1	0	0
ENSG00000257284	0	0	0	0	0	0
ENSG00000228655	0	0	0	0	5	0
ENSG00000283994	0	0	0	0	0	0
ENSG00000231758	1	2	0	0	8	8
ENSG00000257277	0	0	0	3	7	9
ENSG00000257226	0	0	0	0	0	0
ENSG00000236356	0	0	0	0	0	0
ENSG00000200287	0	0	0	0	0	0
ENSG00000232377	0	0	0	0	0	0
ENSG00000121964	458	294	322	223	444	400
ENSG00000169554	3268	2121	2663	1626	2959	2499
ENSG00000283118	0	0	0	0	0	0
ENSG00000279166	9	9	2	15	1	1
ENSG00000238057	21	30	32	8	10	5
ENSG00000275372	0	0	0	0	0	0
ENSG00000273537	0	0	0	0	0	0
ENSG00000277444	0	0	0	0	0	0
ENSG00000287115	80	78	114	40	52	37
ENSG00000232606	0	0	0	0	5	0
ENSG00000226674	0	0	0	0	13	3
ENSG00000234940	0	0	0	0	0	0
ENSG00000276706	0	0	0	0	0	0
ENSG00000235352	0	0	0	0	0	0
ENSG00000268580	0	0	0	0	0	0
ENSG00000235435	0	0	0	0	0	0
ENSG00000214064	0	0	0	0	0	0
ENSG00000225107	0	0	0	0	0	0
ENSG00000286225	0	0	0	0	0	0
ENSG00000226218	0	0	0	0	0	0
ENSG00000234119	0	0	0	0	0	0
ENSG00000233842	0	0	0	0	0	0
ENSG00000279876	0	0	0	0	0	0
ENSG00000251905	0	0	0	0	0	0
ENSG00000230559	0	0	0	0	0	0
ENSG00000227134	0	0	0	0	0	0
ENSG00000198526	24	8	9	0	2	1
ENSG00000271583	0	0	0	0	0	0
ENSG00000231040	0	0	0	0	0	0
ENSG00000227902	0	0	0	0	0	0
ENSG00000287847	0	0	0	0	0	0
ENSG00000207225	0	0	0	0	0	0
ENSG00000207161	0	0	0	0	0	0
ENSG00000202074	0	0	0	0	0	0
ENSG00000253083	0	0	0	0	0	0
ENSG00000229143	0	0	0	0	0	0
ENSG00000121989	1747	1281	1216	746	904	708
ENSG00000212389	1	0	0	0	0	0
ENSG00000223911	0	0	0	0	0	0
ENSG00000115947	826	685	766	461	635	562
ENSG00000204406	747	460	571	422	642	522
ENSG00000281469	3	2	1	0	0	0
ENSG00000281772	0	0	0	0	0	0
ENSG00000212181	0	0	0	0	0	0
ENSG00000224007	0	0	0	0	0	0
ENSG00000232238	6	1	2	0	3	1
ENSG00000135999	4406	3167	4124	2056	2305	2656
ENSG00000222126	0	0	0	0	0	0
ENSG00000223962	0	1	0	0	0	0
ENSG00000231079	17	0	0	0	0	0
ENSG00000228848	3	0	0	1	0	1
ENSG00000226340	1	3	5	7	1	3
ENSG00000168280	5932	4092	3720	2252	2959	3281
ENSG00000286167	6	0	19	0	0	0
ENSG00000150556	117	78	98	101	93	81
ENSG00000228236	0	0	0	0	0	0
ENSG00000286335	0	0	0	0	0	0
ENSG00000224337	0	0	0	0	0	0
ENSG00000187123	204	168	108	116	174	161
ENSG00000223604	10	0	0	0	2	0
ENSG00000168288	1358	1109	1244	792	1256	867
ENSG00000231969	10	0	19	7	10	14
ENSG00000207270	0	0	0	0	0	0
ENSG00000162947	0	0	0	0	0	0
ENSG00000286081	17	0	0	0	0	0
ENSG00000230645	0	0	0	0	0	0
ENSG00000231420	0	0	0	0	0	0
ENSG00000115963	5323	3874	3602	3394	4794	4170
ENSG00000236049	0	0	0	8	0	0
ENSG00000237220	0	0	0	0	0	0
ENSG00000232359	0	0	0	0	0	0
ENSG00000224048	0	0	0	0	0	0
ENSG00000228064	0	0	0	0	0	0
ENSG00000222031	0	0	0	0	0	0
ENSG00000236885	0	0	0	0	0	0
ENSG00000213201	1	0	0	0	0	0
ENSG00000184898	213	140	205	169	355	225
ENSG00000123609	138	90	174	275	762	299
ENSG00000123610	8	8	36	38	105	81
ENSG00000283569	0	0	0	0	0	0
ENSG00000264684	0	0	0	0	0	0
ENSG00000242113	0	0	0	0	0	0
ENSG00000080345	5052	3132	3394	2090	3649	2954
ENSG00000183091	95	30	66	223	511	838
ENSG00000162980	361	232	291	180	235	186
ENSG00000288066	0	0	0	0	0	0
ENSG00000283228	0	0	0	0	0	0
ENSG00000182389	172	55	46	42	114	129
ENSG00000225214	0	0	0	0	0	0
ENSG00000115145	729	576	650	437	943	654
ENSG00000234272	0	3	0	0	0	0
ENSG00000286234	0	0	0	0	0	0
ENSG00000199884	0	0	0	0	0	0
ENSG00000157827	3451	2146	2650	1342	2120	1765
ENSG00000213197	2	0	0	0	0	0
ENSG00000287085	0	0	0	0	0	0
ENSG00000270776	0	0	0	0	0	0
ENSG00000286207	1	0	3	0	0	4
ENSG00000196504	9671	6208	7442	3820	7376	4567
ENSG00000177917	498	545	551	193	282	307
ENSG00000234932	0	0	0	0	0	0
ENSG00000226213	0	0	0	0	0	0
ENSG00000214025	0	0	0	0	0	0
ENSG00000224612	0	0	0	0	0	0
ENSG00000226338	32	14	14	27	10	13
ENSG00000227708	0	0	0	0	0	0
ENSG00000214024	0	0	0	0	0	0
ENSG00000242575	0	7	0	3	2	0
ENSG00000227400	0	0	0	0	0	0
ENSG00000200377	0	0	0	0	0	0
ENSG00000177519	556	558	425	340	562	463
ENSG00000236917	0	0	0	0	0	0
ENSG00000144278	309	171	213	107	162	169
ENSG00000230251	6	0	0	0	0	0
ENSG00000224675	0	0	0	0	0	0
ENSG00000238004	0	0	0	0	0	0
ENSG00000223290	0	0	0	0	0	0
ENSG00000287900	32	8	11	0	1	0
ENSG00000162989	113	89	97	188	233	198
ENSG00000228837	1	0	1	2	4	1
ENSG00000230991	3	6	0	0	0	0
ENSG00000223197	0	0	0	0	0	0
ENSG00000232982	0	0	0	0	0	0
ENSG00000229701	0	0	0	0	0	0
ENSG00000227682	1	1	3	0	1	0
ENSG00000233709	0	0	0	0	0	0
ENSG00000233039	0	0	0	0	0	0
ENSG00000233248	0	0	0	0	0	0
ENSG00000229935	0	0	0	0	0	0
ENSG00000206718	0	0	0	0	0	0
ENSG00000286679	2	0	2	5	4	1
ENSG00000226383	26	28	26	0	9	10
ENSG00000235548	0	0	0	0	0	0
ENSG00000282440	0	0	0	0	0	0
ENSG00000153234	250	131	164	122	272	156
ENSG00000115159	555	325	469	299	646	470
ENSG00000283436	0	0	0	0	0	0
ENSG00000238069	0	0	0	0	0	0
ENSG00000287048	0	0	0	0	0	0
ENSG00000286889	0	0	3	0	0	0
ENSG00000286530	0	0	2	1	8	0
ENSG00000213194	0	0	0	0	0	0
ENSG00000136542	208	174	252	371	696	322
ENSG00000222404	0	1	0	0	0	0
ENSG00000136541	32	19	30	8	54	30
ENSG00000230562	4	7	0	0	2	0
ENSG00000115165	6	23	9	3	3	7
ENSG00000123612	33	49	15	11	40	6
ENSG00000234584	0	0	1	0	8	0
ENSG00000115170	499	329	274	229	497	296
ENSG00000007001	22	10	15	0	17	3
ENSG00000270557	5	10	5	0	0	4
ENSG00000251980	0	0	0	0	0	0
ENSG00000271320	16	10	5	10	11	11
ENSG00000228937	0	0	0	0	0	0
ENSG00000212410	0	0	0	0	0	0
ENSG00000231158	0	0	0	0	0	0
ENSG00000237327	0	0	0	0	0	0
ENSG00000227480	0	0	0	0	0	0
ENSG00000153237	302	136	326	225	289	273
ENSG00000234890	1	1	0	0	1	0
ENSG00000243723	0	0	0	0	0	0
ENSG00000144283	2495	1718	2072	960	2543	1433
ENSG00000227331	1	0	0	0	0	4
ENSG00000204380	0	0	0	0	0	0
ENSG00000228586	0	0	0	0	0	0
ENSG00000231675	0	0	0	0	0	0
ENSG00000163331	1817	2083	3566	47	63	48
ENSG00000286621	0	0	0	0	0	0
ENSG00000243792	0	0	0	0	0	0
ENSG00000251491	32	41	84	3	8	0
ENSG00000188668	0	0	0	0	0	0
ENSG00000222300	0	0	0	0	0	0
ENSG00000115183	607	424	552	394	926	514
ENSG00000213189	0	1	0	6	0	0
ENSG00000202029	0	0	0	0	0	0
ENSG00000226878	0	0	0	0	0	0
ENSG00000275141	0	0	0	0	0	0
ENSG00000196151	124	112	179	113	194	111
ENSG00000123636	8401	4709	6131	2271	4758	3786
ENSG00000223642	0	0	0	0	0	0
ENSG00000270893	0	0	0	0	0	0
ENSG00000225369	0	0	0	0	0	0
ENSG00000207117	10	0	8	0	3	0
ENSG00000224152	85	89	96	71	82	90
ENSG00000226266	23	26	11	2	23	8
ENSG00000230783	3	0	0	5	0	1
ENSG00000136536	2298	1575	1783	1065	1802	1399
ENSG00000241399	95	91	38	79	209	74
ENSG00000248672	0	0	0	0	0	0
ENSG00000287091	0	0	5	4	3	5
ENSG00000054219	15	0	1	2	5	0
ENSG00000227055	0	0	0	0	0	0
ENSG00000153246	29	39	26	40	141	87
ENSG00000115221	10	14	35	17	19	39
ENSG00000285155	0	0	0	0	0	0
ENSG00000285373	10	8	3	2	9	0
ENSG00000153250	1769	1080	1544	1496	4044	2101
ENSG00000283734	0	0	0	0	0	0
ENSG00000279844	0	0	0	0	0	0
ENSG00000244372	0	0	0	0	0	0
ENSG00000232337	0	1	0	0	0	0
ENSG00000224467	0	0	0	0	0	0
ENSG00000136560	363	246	261	165	316	287
ENSG00000235724	0	0	0	0	0	0
ENSG00000227403	0	0	0	4	18	0
ENSG00000225813	0	0	0	0	0	0
ENSG00000115233	2247	1943	2313	1239	1936	1409
ENSG00000232320	1	1	0	0	0	0
ENSG00000271924	0	0	0	0	0	0
ENSG00000136535	2549	2453	1611	65	169	87
ENSG00000224076	0	0	4	2	6	0
ENSG00000251621	0	0	0	0	0	0
ENSG00000144290	582	273	372	856	1375	639
ENSG00000280105	16	15	2	0	0	1
ENSG00000226121	5	0	9	5	3	0
ENSG00000238570	0	0	0	0	0	0
ENSG00000226946	0	0	0	0	0	0
ENSG00000288091	9	1	0	8	22	12
ENSG00000235716	0	0	0	0	0	0
ENSG00000234732	0	0	0	0	0	0
ENSG00000197635	38	10	14	40	96	56
ENSG00000230918	0	0	0	0	1	0
ENSG00000231445	0	0	0	0	0	0
ENSG00000224674	0	0	0	0	0	0
ENSG00000233397	0	0	0	0	0	0
ENSG00000115263	0	0	0	12	48	36
ENSG00000236841	0	0	0	0	0	0
ENSG00000078098	82	96	55	80	71	116
ENSG00000115267	27	23	56	93	125	59
ENSG00000115271	454	367	463	460	344	369
ENSG00000184611	99	60	105	140	103	145
ENSG00000212312	0	0	0	0	0	0
ENSG00000237750	0	0	0	0	0	0
ENSG00000230282	0	1	0	1	0	0
ENSG00000200902	0	0	0	0	0	0
ENSG00000182263	1105	975	1089	149	566	326
ENSG00000237844	0	0	0	0	0	0
ENSG00000226847	0	0	0	0	0	0
ENSG00000229641	0	0	0	0	0	0
ENSG00000115290	108	94	93	72	162	113
ENSG00000277998	20	60	29	8	84	20
ENSG00000082438	810	414	749	847	2008	850
ENSG00000224331	4	1	1	0	7	1
ENSG00000206869	0	0	0	0	0	0
ENSG00000236283	46	23	40	33	124	54
ENSG00000199508	0	0	0	0	0	0
ENSG00000223318	0	0	0	0	0	0
ENSG00000169507	22	13	27	162	401	134
ENSG00000153253	3031	1990	1580	1115	1217	1847
ENSG00000136531	981	674	505	889	862	968
ENSG00000233204	0	0	0	0	0	0
ENSG00000288089	0	0	0	0	0	0
ENSG00000178662	3330	2780	1893	1357	1989	2049
ENSG00000115339	125	77	87	47	191	63
ENSG00000235192	0	0	0	6	0	0
ENSG00000229195	2	3	0	0	0	1
ENSG00000232411	0	0	0	0	8	0
ENSG00000123607	570	351	270	254	455	257
ENSG00000224490	0	0	0	0	0	0
ENSG00000236107	2	12	0	0	0	0
ENSG00000144285	275	176	138	88	109	145
ENSG00000238813	0	0	0	0	0	0
ENSG00000222376	0	0	0	0	0	0
ENSG00000169432	249	155	133	267	308	230
ENSG00000136546	16	11	10	22	47	29
ENSG00000283657	0	0	0	0	0	0
ENSG00000163092	0	0	0	36	62	74
ENSG00000225182	0	0	0	0	0	0
ENSG00000254552	0	0	0	0	0	0
ENSG00000228222	0	5	2	0	0	0
ENSG00000238357	0	0	0	0	0	0
ENSG00000214211	0	0	0	0	0	0
ENSG00000235335	0	0	0	0	0	4
ENSG00000172318	167	130	92	75	117	176
ENSG00000198648	1402	972	1306	1469	2230	1501
ENSG00000238259	0	0	0	0	0	0
ENSG00000241074	0	0	0	0	0	0
ENSG00000172292	3072	2834	2015	1251	2258	1973
ENSG00000265694	0	0	0	0	0	0
ENSG00000199348	0	0	0	0	0	0
ENSG00000227617	0	7	0	0	0	0
ENSG00000163072	0	0	2	4	5	7
ENSG00000152253	88	59	43	32	52	16
ENSG00000152254	0	0	0	0	0	0
ENSG00000073734	4	4	18	0	0	3
ENSG00000073737	3	1	11	7	23	10
ENSG00000235321	0	0	0	0	0	0
ENSG00000235995	0	0	0	0	0	0
ENSG00000081479	918	873	1081	160	279	255
ENSG00000163093	85	31	62	71	119	55
ENSG00000251569	0	0	0	0	0	0
ENSG00000239474	39	29	44	352	636	670
ENSG00000138399	520	372	411	226	371	347
ENSG00000229827	4	0	0	0	0	0
ENSG00000138398	5606	3096	3900	2693	5715	3541
ENSG00000154479	712	296	594	323	648	306
ENSG00000226072	0	0	0	0	0	0
ENSG00000144362	104	69	103	63	83	37
ENSG00000213160	3135	2628	2413	1157	1709	1470
ENSG00000206961	0	0	0	0	0	0
ENSG00000231550	0	0	0	0	0	0
ENSG00000214369	0	0	0	0	0	0
ENSG00000138385	5395	3005	4822	2842	5878	3355
ENSG00000138382	790	597	747	693	1083	689
ENSG00000144357	873	645	693	450	751	573
ENSG00000227176	0	0	0	0	0	0
ENSG00000252807	0	0	0	0	0	0
ENSG00000071909	164	36	145	176	230	85
ENSG00000231898	0	0	0	0	0	0
ENSG00000214821	1	0	2	0	0	2
ENSG00000213981	0	0	0	0	0	0
ENSG00000275414	0	0	0	0	0	0
ENSG00000234350	33	22	27	15	33	27
ENSG00000222033	2	1	0	0	3	0
ENSG00000204335	236	206	131	464	790	511
ENSG00000128692	14	15	18	2	13	13
ENSG00000239467	133	31	93	125	166	130
ENSG00000222509	0	0	0	0	0	0
ENSG00000204334	53	11	31	30	89	39
ENSG00000128683	229	262	94	345	162	515
ENSG00000235934	36	42	31	46	2	36
ENSG00000286611	0	0	0	0	0	0
ENSG00000286115	6	0	0	4	3	0
ENSG00000115806	1537	1314	1409	683	1409	1073
ENSG00000198586	2593	1600	2095	1192	2582	1205
ENSG00000123600	567	314	422	388	639	426
ENSG00000224553	0	0	0	0	0	0
ENSG00000115827	454	338	302	296	501	302
ENSG00000228507	7	2	0	0	0	2
ENSG00000234061	0	0	0	0	0	0
ENSG00000233762	1457	887	1388	1190	1252	952
ENSG00000071967	265	250	268	396	858	552
ENSG00000233934	0	0	0	0	0	0
ENSG00000077380	3397	2552	2460	1398	3132	1833
ENSG00000115840	619	538	631	728	651	714
ENSG00000252779	0	0	0	0	0	0
ENSG00000128708	737	656	999	566	577	625
ENSG00000172878	111	122	103	39	74	46
ENSG00000144355	279	350	277	40	107	82
ENSG00000115844	267	220	164	54	139	72
ENSG00000236651	0	0	0	0	0	0
ENSG00000232555	0	0	0	0	0	0
ENSG00000288048	20	5	18	0	3	3
ENSG00000286557	0	0	0	0	0	0
ENSG00000278924	0	0	0	0	0	0
ENSG00000091409	1398	1161	1249	810	1268	762
ENSG00000226963	3	0	5	1	7	0
ENSG00000232788	0	0	4	0	3	0
ENSG00000225205	20	0	17	29	37	25
ENSG00000152256	307	279	203	177	356	232
ENSG00000199866	0	0	0	0	0	0
ENSG00000230104	0	0	0	0	0	0
ENSG00000228016	7	4	0	0	0	0
ENSG00000239041	0	0	0	0	0	0
ENSG00000091428	189	126	89	109	121	75
ENSG00000232292	0	0	0	0	0	0
ENSG00000091436	1000	800	804	1125	3382	1628
ENSG00000238133	0	3	0	0	0	1
ENSG00000231735	4	1	2	2	0	1
ENSG00000236391	2	0	0	0	9	5
ENSG00000144354	1969	1783	2101	864	957	1062
ENSG00000213148	0	0	0	0	1	0
ENSG00000236832	0	0	0	0	0	0
ENSG00000226131	0	0	0	0	0	0
ENSG00000237016	0	0	0	1	0	0
ENSG00000237617	0	0	0	0	0	0
ENSG00000270460	0	0	3	0	1	0
ENSG00000234415	0	0	0	0	0	0
ENSG00000172845	1139	1090	1073	477	965	625
ENSG00000271151	0	5	2	0	0	6
ENSG00000273258	0	0	0	0	0	0
ENSG00000260868	2	0	0	0	0	0
ENSG00000235414	0	0	0	0	0	0
ENSG00000138430	2049	1653	1792	690	1588	1152
ENSG00000270799	0	0	0	0	0	0
ENSG00000243770	0	0	0	0	0	0
ENSG00000201088	0	0	0	0	0	0
ENSG00000227180	0	0	0	0	0	0
ENSG00000237804	2	0	14	9	2	8
ENSG00000231453	45	31	5	10	7	16
ENSG00000280414	6	0	0	0	0	0
ENSG00000217236	47	81	45	16	37	24
ENSG00000138433	2180	1587	1816	1198	2342	1504
ENSG00000144306	392	258	380	241	376	271
ENSG00000163328	179	107	113	92	249	140
ENSG00000226853	43	17	19	17	26	3
ENSG00000179997	0	0	0	0	0	0
ENSG00000279884	0	0	0	0	0	1
ENSG00000236449	0	0	0	0	0	0
ENSG00000206965	0	2	5	5	0	0
ENSG00000115935	416	322	485	404	1058	597
ENSG00000237798	0	0	0	0	0	0
ENSG00000235655	0	0	0	0	0	0
ENSG00000138435	11	14	26	94	116	139
ENSG00000128656	1289	999	1437	910	1540	1262
ENSG00000212167	0	0	0	0	0	0
ENSG00000199827	0	0	0	0	0	0
ENSG00000227187	0	0	0	0	0	0
ENSG00000115966	1703	1626	1478	848	1413	1531
ENSG00000277948	0	0	0	0	0	0
ENSG00000215973	2	0	0	0	0	0
ENSG00000229750	0	0	0	0	0	0
ENSG00000154518	4620	4159	4726	3410	6397	3776
ENSG00000200121	0	0	0	0	0	0
ENSG00000233131	0	1	1	0	1	0
ENSG00000229066	0	0	0	0	0	0
ENSG00000223976	0	0	0	0	0	0
ENSG00000235047	0	0	0	0	2	0
ENSG00000229779	0	0	0	0	0	0
ENSG00000144320	1127	789	1160	706	1412	791
ENSG00000174279	28	7	13	37	96	41
ENSG00000128714	0	9	2	24	174	55
ENSG00000170178	0	0	0	4	26	6
ENSG00000128713	0	4	0	93	506	137
ENSG00000128710	1	7	0	119	215	50
ENSG00000237380	5	13	12	44	84	65
ENSG00000128709	5	14	0	17	68	35
ENSG00000175879	14	8	5	78	150	74
ENSG00000128652	37	26	21	0	44	9
